Como localizo o código do meu vale trocas?,LOCALIZA_CODIGO
Como funciona a postagem?,POSTAGEM
Quero postar meu produto.,POSTAR_PRODUTO
A Centauro.com.br.com.br disponibiliza embalagem de presente?,EMBALAGEM_PRESENTE
Onde solicitar a montagem de bicicleta?,MONTA_BIKE
O que é Bike Service?,BIKE_SERVICE
Central de Relacionamento - Centauro.com.br,RELAICONAMENTO
O que é Nota Fiscal Eletrônica?,NFE
Como faço para resgatar a 2ª via da Nota Fiscal?,2NFE
Posso utilizar o Bike Service para qualquer bicicleta?,BIKE_SERVICE_BIKE
